οὔτε   não nem	1
σύνηθες   habitual	1
Ἔδοξέ   sonhou	1
τις   Um sujeito	1
σίνηπι   mostarda	2
τετριμμένον   moída	1
ὑγρὸν   liquescida	1
πίνειν   beber	1
ἔτυχε   aconteceu de	1
δὲ   e	1
αὐτῷ οὖσα   sofrer	1
δίκη   um processo judicial	1
καὶ   e	2
ἔφευγε   se defendeu	1
φόνου   de homicídio	1
γραφήν   uma acusação	1
ἑάλω   Foi condenado	1
τῆς   a	1
κεφαλῆς   cabeça	1
ἀφῃρέθη·   teve decepada	1
ἧν   era	1
γὰρ   Pois	1
οὔτε   nem	1
ὅλως   absolutamente	1
πότιμον   potável	1
τὸ   a	2
ποτόν   bebida	1
καὶ   E	1
μέντοι   de fato	1
καὶ   também	1
διακριθὲν   que foi filtrada	1
πρότερον   antes	1
ὑπὸ τοῦ   pelo	1
λεγομένου   chamado	1
ἠθμοῦ   coador - de - vinho	1
ἔπινε   estava bebendo	1
τοιγαροῦν   Portanto	1
ὑπὸ   por	1
κριτοῦ   um crivo	1
ὅπερ   que próprio	1
ἐστὶ   é	1
δικαστοῦ   do juiz	1
εἰς   à	1
ὄλεθρον   morte	1
κατέστη   foi levado	1
