Ἔδοξέ   sonhou	1
τις   Um	1
φεύγων   réu	1
γραφὴν   de um processo	1
δημοσίων   pública	1
ἀδικημάτων   de malversação	1
τὰ   os	2
γράμματα   autos	1
καὶ   e	1
δικαιώματα   argumentos da defesa	1
ἀπολωλεκέναι   ter destruído	1
τῇ   No	1
ὑστεραίᾳ   dia seguinte	1
εἰσαχθείσης   depois de ter sido julgada	1
τῆς   a	1
δίκης   causa	1
ἀφείθη   ele foi liberado	1
τῶν   das	2
ἐγκλημάτων   acusações	2
καὶ   E	1
τοῦτο   isso	1
ἦν   era	1
ἄρα   então	1
ὅπερ   justamente o que	1
ἐσήμαινεν   significava	1
αὐτῷ   para ele	1
τὸ   o	1
ὄναρ   sonho	1
ἀφεθέντι   que tendo sido liberado	1
μηκέτι   não mais	1
δεήσεσθαι   precisaria	1
τῶν   dos	1
δικαιωμάτων   argumentos da defesa	1
