Ἔδοξέ   sonhou	1
τις   Um sujeito	1
εἰς   em	1
γυμνάσιον   um ginásio	1
τὸ ὂν   que existia	1
ἐν τῇ   na	1
πατρίδι   terra natal	1
αὐτοῦ   sua	1
εἰσελθὼν   ao entrar	1
ἰδεῖν   que via	1
εἰκόνα   retrato	2
ἰδίαν   próprio	1
ἥτις   o qual	1
ὕπαρ   em estado de vigília	1
ἦν   estava	1
ἀνακειμένη·   exposto como oferenda	1
εἶτα   Depois	1
ἐδόκει   parecia	1
αὐτῷ   lhe	1
τὸ   o	4
πῆγμα   suporte	3
τῆς   do	2
εἰκόνος   retrato	1
πᾶν   todo	1
τὸ ἔξωθεν   por fora	1
διαλελύσθαι   se desprender	1
πυνθανομένῳ   que perguntava	1
τινι   A alguém	1
τί   o que	1
συμβεβηκὸς εἴη   havia acontecido	1
περὶτὴν   em volta do	1
λέγειν   responder	1
ᾤετο   ele acreditava	1
ἡ   “	1
μὲν   por um lado	1
εἰκών   retrato	1
μου   meu	1
μένει   permanece	1
ὑγιής   intacto	1
δὲ   por outro	1
λέλυται   está desmantelado	1
χωλὸς   Aleijado	1
ἐγένετο   se tornou	1
ἀμφοτέρους   de ambos	1
τοὺς   os	1
πόδας   pés	1
εἰκότως·   justamente	1
γὰρ   pois	1
γυμνάσιον   ginásio	1
σύμβολον   símbolo	1
ἦν   era	1
καθʼ ὅλον   como um todo	1
τὸν   do	1
ὄγκον   corpo	1
εὐεξίας   estado de saúde	1
ἡ   o	1
εἰκὼν   retrato	1
τὰ περὶ   a aparência	1
τὸ   do	1
πρόσωπον   rosto	1
ἐσήμαινε   sinalizava	1
δὲ   e	1
ἔξωθεν   por fora	1
τὰ   o	1
λοιπὰ   restante	1
τοῦ   do	1
σώματος   corpo	1
ἧν   era	1
